runId,finalCensus,primarySuccessCount,optionalSuccessCount,maxStackHeight,totalAssets,adjacencyBonusTotal,boomRound,limiterMostHit,seed,policyCount,blightStart,blightEnd,blightClearedCount,stackSum,stacksAbove1,top3StackHeights,endgameSurgeRatio,maxSingleRoundGrowth,rewardPark,rewardMarket,rewardClinic,rewardTransit,rewardPolicy,totalSuitGrowth,totalAdjacencyGrowth,totalPolicyGrowth,totalEndgameBonus,blockedByMissionFail,blockedByJobs,blockedByServices,blockedByPotential,policyRewardsEarned,policiesApplied,assetRewardsEarned,assetsPlaced,rewardsWastedOrCapped,prestigeScore,prestigeMult,boomMult,endgameBase,endgameBonus,blightPenalty
56,104090,3,8,5,5,18,4,Potential,1766085198500,0,0,3,1,69,16,5|5|5,0.462,24,2,2,1,0,0,30,18,0,0,42,17,0,38,0,0,5,5,,34,0.9669918829069233,1,8327,15000,0.54
57,1819438,8,7,5,11,18,8,Potential,1766085198502,0,0,0,0,72,16,5|5|5,2.104,22,1,4,5,2,3,28,18,0,950796.5127801285,0,0,0,0,3,0,12,11,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),84,1.4047844993089278,1,509443,715658,0
58,1690040,7,5,5,7,17,8,Potential,1766085198505,1,0,0,1,68,16,5|5|5,2.024,28,2,3,1,2,4,22,17,0,853020.7846017058,4,0,0,5,4,1,8,7,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.5482002521188263,1,473211,732625,0
59,1983157,7,6,5,9,18,4,Potential,1766085198507,1,1,0,1,69,16,5|5|5,2.2,28,2,4,3,1,3,29,18,0,1078524.8128451689,2,6,0,3,3,1,10,9,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),100,1.6,1,356968,571149,0
60,263682,4,11,5,4,10,,Potential,1766085198509,1,0,1,3,67,16,5|5|5,0.822,18,2,1,0,2,2,26,10,0,0,19,10,0,11,2,1,5,4,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),75,1.252621191116854,1,21095,26424,0.18
61,152332,5,7,5,4,11,,Potential,1766085198511,1,0,0,3,69,16,5|5|5,1.004,5,1,2,1,0,4,20,11,0,0,8,0,0,11,4,1,4,4,Policy rewards not active (best-effort),75,1.2482104676215973,1,42653,53240,0
62,665663,7,9,5,8,17,,Potential,1766085198513,0,0,0,1,69,16,5|5|5,1.23,18,1,4,2,3,4,21,17,0,123105.68765081376,4,0,0,5,4,0,10,8,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),79,1.356364834809689,1,186386,252807,0
63,173515,6,9,5,10,11,,None,1766085198516,0,0,1,1,62,16,5|5|5,0.824,11,2,6,3,1,0,22,11,0,0,9,10,0,7,0,0,12,10,Unplaced assets remaining (best-effort),47,1.0585869443797264,1,13881,15000,0.18
64,1197093,6,6,5,6,18,8,Potential,1766085198518,0,0,0,2,69,16,5|5|5,1.685,28,1,2,2,3,2,27,18,0,484011.6669598823,12,0,2,14,2,0,8,6,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),78,1.3454732207185693,1,215477,289919,0
65,395917,5,11,5,6,10,,Potential,1766085198520,1,0,0,3,73,16,5|5|5,1.004,15,0,3,3,1,3,23,10,0,0,19,2,0,22,3,1,7,6,Unplaced assets remaining (best-effort)|Policy rewards not active (best-effort),88,1.3864330213188025,1,110857,153696,0
66,318032,4,9,5,6,16,8,Potential,1766085198522,1,0,1,3,68,16,5|5|5,0.822,22,3,2,0,1,1,25,16,0,0,31,2,0,27,1,1,6,6,,81,1.3071216915768946,1,57246,74827,0.18
67,898077,7,9,5,13,11,,Potential,1766085198525,1,0,0,1,67,16,5|5|5,1.444,18,3,4,6,0,2,29,11,0,273534.86787965195,5,9,0,6,2,1,13,13,Policy rewards not active (best-effort),93,1.436528461891513,1,161654,232221,0
